Theta: 1.570700
periodo,theta_Calc,theta_Anali,Passo
1.275000,-1.034481,-1.449728,0.010000
1.285000,-0.996960,-1.441223,0.010000
1.295000,-0.958462,-1.432475,0.010000
1.305000,-0.919024,-1.423491,0.010000
1.315000,-0.878684,-1.414274,0.010000
1.325000,-0.837482,-1.404829,0.010000
1.335000,-0.795459,-1.395160,0.010000
1.345000,-0.752655,-1.385271,0.010000
1.355000,-0.709113,-1.375166,0.010000
1.365000,-0.664876,-1.364851,0.010000
1.375000,-0.619986,-1.354328,0.010000
1.385000,-0.574488,-1.343603,0.010000
1.395000,-0.528427,-1.332678,0.010000
1.405000,-0.481847,-1.321559,0.010000
1.415000,-0.434795,-1.310249,0.010000
1.425000,-0.387316,-1.298753,0.010000
1.435000,-0.339457,-1.287073,0.010000
1.445000,-0.291265,-1.275214,0.010000
1.455000,-0.242788,-1.263181,0.010000
1.465000,-0.194072,-1.250976,0.010000
1.475000,-0.145166,-1.238603,0.010000
1.485000,-0.096118,-1.226067,0.010000
1.495000,-0.046975,-1.213371,0.010000
1.505000,0.002214,-1.200519,0.010000
1.515000,0.051400,-1.187514,0.010000
1.525000,0.100537,-1.174359,0.010000
1.535000,0.149574,-1.161060,0.010000
1.545000,0.198465,-1.147618,0.010000
1.555000,0.247161,-1.134038,0.010000
1.565000,0.295615,-1.120323,0.010000
1.575000,0.343779,-1.106476,0.010000
1.585000,0.391605,-1.092501,0.010000
1.595000,0.439047,-1.078402,0.010000
1.605000,0.486059,-1.064181,0.010000
1.615000,0.532594,-1.049842,0.010000
1.625000,0.578607,-1.035388,0.010000
1.635000,0.624051,-1.020822,0.010000
1.645000,0.668884,-1.006148,0.010000
1.655000,0.713061,-0.991369,0.010000
1.665000,0.756538,-0.976488,0.010000
1.675000,0.799273,-0.961507,0.010000
1.685000,0.841224,-0.946431,0.010000
1.695000,0.882350,-0.931262,0.010000
1.705000,0.922611,-0.916003,0.010000
1.715000,0.961966,-0.900657,0.010000
1.725000,1.000378,-0.885227,0.010000
1.735000,1.037808,-0.869717,0.010000
1.745000,1.074221,-0.854128,0.010000
1.755000,1.109579,-0.838463,0.010000
1.765000,1.143850,-0.822727,0.010000
1.775000,1.176998,-0.806920,0.010000
1.785000,1.208992,-0.791047,0.010000
1.795000,1.239800,-0.775110,0.010000
1.805000,1.269391,-0.759111,0.010000
1.815000,1.297738,-0.743054,0.010000
1.825000,1.324812,-0.726940,0.010000
1.835000,1.350586,-0.710773,0.010000
1.845000,1.375035,-0.694555,0.010000
1.855000,1.398135,-0.678289,0.010000
1.865000,1.419864,-0.661977,0.010000
1.875000,1.440200,-0.645622,0.010000
1.885000,1.459124,-0.629226,0.010000
1.895000,1.476616,-0.612791,0.010000
1.905000,1.492660,-0.596321,0.010000
1.915000,1.507239,-0.579817,0.010000
1.925000,1.520340,-0.563282,0.010000
1.935000,1.531950,-0.546719,0.010000
1.945000,1.542057,-0.530129,0.010000
1.955000,1.550652,-0.513514,0.010000
1.965000,1.557725,-0.496878,0.010000
1.975000,1.563270,-0.480222,0.010000
1.985000,1.567282,-0.463549,0.010000
1.995000,1.569757,-0.446860,0.010000
