Theta: 1.570700
periodo,theta_Calc,theta_Anali
0.021200,1.567239,1.410180
0.021300,1.567206,1.409436
0.021400,1.567173,1.408693
0.021500,1.567140,1.407949
0.021600,1.567107,1.407205
0.021700,1.567074,1.406462
0.021800,1.567040,1.405719
0.021900,1.567006,1.404975
0.022000,1.566973,1.404232
0.022100,1.566939,1.403489
0.022200,1.566905,1.402746
0.022300,1.566870,1.402004
0.022400,1.566836,1.401261
0.022500,1.566801,1.400519
0.022600,1.566767,1.399776
0.022700,1.566732,1.399034
0.022800,1.566697,1.398292
0.022900,1.566662,1.397550
0.023000,1.566626,1.396808
0.023100,1.566591,1.396067
0.023200,1.566555,1.395325
0.023300,1.566519,1.394584
0.023400,1.566483,1.393842
0.023500,1.566447,1.393101
0.023600,1.566411,1.392360
0.023700,1.566375,1.391619
0.023800,1.566338,1.390878
0.023900,1.566301,1.390137
0.024000,1.566264,1.389397
0.024100,1.566227,1.388656
0.024200,1.566190,1.387916
0.024300,1.566153,1.387176
0.024400,1.566115,1.386435
0.024500,1.566078,1.385695
0.024600,1.566040,1.384956
0.024700,1.566002,1.384216
0.024800,1.565964,1.383476
0.024900,1.565926,1.382737
0.025000,1.565887,1.381997
0.025100,1.565849,1.381258
0.025200,1.565810,1.380519
0.025300,1.565771,1.379780
0.025400,1.565732,1.379041
0.025500,1.565693,1.378302
0.025600,1.565654,1.377564
0.025700,1.565614,1.376825
0.025800,1.565575,1.376087
0.025900,1.565535,1.375348
0.026000,1.565495,1.374610
0.026100,1.565455,1.373872
0.026200,1.565414,1.373134
0.026300,1.565374,1.372396
0.026400,1.565333,1.371659
0.026500,1.565293,1.370921
0.026600,1.565252,1.370184
0.026700,1.565211,1.369447
0.026800,1.565170,1.368709
0.026900,1.565128,1.367972
0.027000,1.565087,1.367235
0.027100,1.565045,1.366499
0.027200,1.565004,1.365762
0.027300,1.564962,1.365025
0.027400,1.564919,1.364289
0.027500,1.564877,1.363553
0.027600,1.564835,1.362816
0.027700,1.564792,1.362080
0.027800,1.564750,1.361344
0.027900,1.564707,1.360609
0.028000,1.564664,1.359873
0.028100,1.564621,1.359137
0.028200,1.564577,1.358402
0.028300,1.564534,1.357667
0.028400,1.564490,1.356931
0.028500,1.564446,1.356196
0.028600,1.564402,1.355461
0.028700,1.564358,1.354726
0.028800,1.564314,1.353992
0.028900,1.564270,1.353257
0.029000,1.564225,1.352523
0.029100,1.564180,1.351788
0.029200,1.564136,1.351054
0.029300,1.564091,1.350320
0.029400,1.564045,1.349586
0.029500,1.564000,1.348852
0.029600,1.563955,1.348118
0.029700,1.563909,1.347385
0.029800,1.563863,1.346651
0.029900,1.563817,1.345918
0.030000,1.563771,1.345185
0.030100,1.563725,1.344451
0.030200,1.563679,1.343718
0.030300,1.563632,1.342986
0.030400,1.563585,1.342253
0.030500,1.563539,1.341520
0.030600,1.563492,1.340788
0.030700,1.563444,1.340055
0.030800,1.563397,1.339323
0.030900,1.563350,1.338591
0.031000,1.563302,1.337859
0.031100,1.563254,1.337127
0.031200,1.563206,1.336395
0.031300,1.563158,1.335663
0.031400,1.563110,1.334932
0.031500,1.563062,1.334200
0.031600,1.563013,1.333469
0.031700,1.562964,1.332738
0.031800,1.562916,1.332007
0.031900,1.562867,1.331276
0.032000,1.562817,1.330545
0.032100,1.562768,1.329815
0.032200,1.562719,1.329084
0.032300,1.562669,1.328354
0.032400,1.562619,1.327623
0.032500,1.562569,1.326893
0.032600,1.562519,1.326163
0.032700,1.562469,1.325433
0.032800,1.562419,1.324703
0.032900,1.562368,1.323973
0.033000,1.562318,1.323244
0.033100,1.562267,1.322514
0.033200,1.562216,1.321785
0.033300,1.562165,1.321056
0.033400,1.562113,1.320327
0.033500,1.562062,1.319598
0.033600,1.562010,1.318869
0.033700,1.561958,1.318140
0.033800,1.561907,1.317412
0.033900,1.561854,1.316683
0.034000,1.561802,1.315955
